69905684,Rua 6 de Agosto,- de 419/420 ao fim,Seis de Agosto,7735,1
69905686,Travessa Marupá,,Seis de Agosto,7735,1
69905688,Travessa Nossa Senhora de Nazaré,,Seis de Agosto,7735,1
69905690,Travessa Seabra,,Seis de Agosto,7735,1
69905692,Travessa Angelim de Pedra,,Seis de Agosto,7735,1
69905700,Travessa 12 de Outubro,,Invasão da Seis de Agosto,7735,1
69905703,Rua Cearense,- até 596/597,Invasão da Seis de Agosto,7735,1
69905706,Travessa Bilú,,Invasão da Seis de Agosto,7735,1
69905709,Rua Mata Mata,,Invasão da Seis de Agosto,7735,1
69905715,Travessa Eden,,Invasão da Seis de Agosto,7735,1
69905718,Ramal Beira da Judia,,Invasão da Seis de Agosto,7735,1
69905970,Via Verde 2434,,Praia do Amapá,7735,1
69906080,Rua do Areal,- de 1316/1317 ao fim,Areal,7735,1
69906083,Rua do Areal,- de 529/530 a 1314/1315,Areal,7735,1
69906086,Rua Oswaldo Coelho,,Areal,7735,1
69906089,Rua do Areal,- até 526/527,Areal,7735,1
69906092,Travessa Pires,,Areal,7735,1
69906095,Travessa Serrana,,Areal,7735,1
69906098,Travessa Janaína,,Areal,7735,1
69906101,Travessa Coral,,Areal,7735,1
69906104,Travessa Beija-flor,,Areal,7735,1
69906107,Rua Lagore,,Areal,7735,1
69906110,Rua da Pista,,Areal,7735,1
69906113,Travessa da Otilia,,Areal,7735,1
69906116,Via Chico Mendes,- de 5219/5220 ao fim,Areal,7735,1
69906119,Via Chico Mendes,- de 3201/3202 a 5217/5218,Areal,7735,1
69906130,Rua Projetada 460,,Vila do DNER,7735,1
69906134,Via Chico Mendes,- de 2003 a 2515 - lado ímpar,Vila do DNER,7735,1
69906138,Rua Quinarí,,Vila do DNER,7735,1
69906142,Travessa Quinarí,,Vila do DNER,7735,1
69906146,Rua Saúde,,Vila do DNER,7735,1
69906150,Via Chico Mendes,- de 1 a 2001 - lado ímpar,Vila do DNER,7735,1
69906154,Alameda Mendes Carlos,,Vila do DNER,7735,1
69906158,Rua Vila do DNER,,Vila do DNER,7735,1
69906210,Via Chico Mendes,- de 2 a 2000 - lado par,Triângulo Velho,7735,1
69906212,Rua Quinarí,,Triângulo Velho,7735,1
69906214,Via Chico Mendes,- de 2002 a 2500 - lado par,Triângulo Velho,7735,1
69906216,Rua Coronel João de Oliveira Rolla,,Triângulo Velho,7735,1
69906218,Rua Adolfo Barbosa Leite,,Triângulo Velho,7735,1
69906220,Rua Flávio Batista,,Triângulo Velho,7735,1
69906222,Travessa Flávio Batista,,Triângulo Velho,7735,1
69906224,Rua Guilhermino Bastos,,Triângulo Velho,7735,1
69906226,Beco Adolfo Barbosa Leite,,Triângulo Velho,7735,1
69906228,Travessa Adolfo Barbosa Leite,,Triângulo Velho,7735,1
69906230,Rua Boulevard Augusto Monteiro,- de 633 ao fim - lado ímpar,Triângulo Velho,7735,1
69906232,Travessa Hernandes Fernandes,,Triângulo Velho,7735,1
69906260,Rua Boulevard Augusto Monteiro,- de 634 ao fim - lado par,Triângulo Novo,7735,1
69906262,Rua Padre José,- de 263/264 ao fim,Triângulo Novo,7735,1
69906264,Travessa São José,,Triângulo Novo,7735,1
69906266,Travessa Paulo,,Triângulo Novo,7735,1
69906268,Travessa Assis,,Triângulo Novo,7735,1
69906270,Travessa Carlos Vasconcelos,,Triângulo Novo,7735,1
69906272,Travessa Serrinha,,Triângulo Novo,7735,1
69906274,Travessa Triângulo,,Triângulo Novo,7735,1
69906276,Travessa Padre André,,Triângulo Novo,7735,1
69906278,Travessa Pedro,,Triângulo Novo,7735,1
69906280,Beco São José,,Triângulo Novo,7735,1
69906282,Rua Maria de Lourdes,,Triângulo Novo,7735,1
69906284,Travessa Sobradinho,,Triângulo Novo,7735,1
69906286,Travessa São Domingos,,Triângulo Novo,7735,1
69906288,Travessa Jorge Cunha,,Triângulo Novo,7735,1
69906290,Travessa Rita de Cássia,,Triângulo Novo,7735,1
69906292,Rua Padre José,- até 261/262,Triângulo Novo,7735,1
69906294,Beco Barulho,,Triângulo Novo,7735,1
69906296,Rua Cupuaçu,,Triângulo Novo,7735,1
69906298,Beco Cajá,,Triângulo Novo,7735,1
69906300,Beco Silva,,Triângulo Novo,7735,1
69906302,Via Chico Mendes,- de 2502 a 2998 - lado par,Triângulo Novo,7735,1
69906310,Via Chico Mendes,- de 3000 a 3200 - lado par,Comara,7735,1
69906312,Via Chico Mendes,- de 3001 a 3199 - lado ímpar,Comara,7735,1
69906314,Travessa Comara,,Comara,7735,1
69906316,Beco Sargento Trilha,,Comara,7735,1
69906318,Beco da Amizade,,Comara,7735,1
69906320,Travessa Nacional,,Comara,7735,1
69906322,Travessa Piracicaba,,Comara,7735,1
69906324,Beco dos Amigos,,Comara,7735,1
69906326,Via Chico Mendes,- de 2517 a 2999 - lado ímpar,Comara,7735,1
69906328,Travessa Internacional,,Comara,7735,1
69906330,Beco do Gaúcho,,Comara,7735,1
69906332,Travessa Raimundo Guerra,,Comara,7735,1
69906334,Rua Rio Branco,,Comara,7735,1
69906336,Rua Cruzeiro do Sul,,Comara,7735,1
69906338,Rua Assis Brasil,,Comara,7735,1
69906340,Rua Brasiléia,,Comara,7735,1
69906342,Rua Xapuri,,Comara,7735,1
69906344,Travessa Capixaba,,Comara,7735,1
69906346,Beco Quinarí,,Comara,7735,1
69906348,Rua Raimundo Guerra,,Comara,7735,1
69906390,Rua Baguari,- até 999/1000,Taquarí,7735,1
69906392,Travessa Lourival Ribeiro,,Taquarí,7735,1
69906394,Rua Júlio Mariano,- até 399/400,Taquarí,7735,1
69906396,Rua Monte Mário,,Taquarí,7735,1
69906398,Rua Barra Verde,,Taquarí,7735,1
69906400,Travessa Marmoré,,Taquarí,7735,1
69906402,Rua Nossa Senhora de Fátima,,Taquarí,7735,1
69906404,Travessa da Palha,,Taquarí,7735,1
69906406,Travessa Guanabara,,Taquarí,7735,1
69906408,Rua Lourival Ribeiro,,Taquarí,7735,1
69906410,Rua do Passeio,- até 1600/1601,Taquarí,7735,1
69906412,Travessa Taquari,,Taquarí,7735,1
69906414,Travessa Beira Rio,,Taquarí,7735,1
69906416,Travessa Xapuri,,Taquarí,7735,1
69906420,Rua Júlio Mariano,- de 401/402 ao fim,Taquarí,7735,1
69906422,Travessa Baguarí,,Taquarí,7735,1
69906424,Travessa Itapeva,,Taquarí,7735,1
69906426,Rua Baguari,- de 1001/1002 a 2999/3000,Taquarí,7735,1
69906428,Travessa da Amizade,,Taquarí,7735,1
69906430,Beco da Amizade,,Taquarí,7735,1
69906432,Travessa São Joaquim,,Taquarí,7735,1
69906434,Rua da Amizade,,Taquarí,7735,1
69906436,Travessa Castanhola,,Taquarí,7735,1
69906438,Travessa Rio Branco,,Taquarí,7735,1
69906440,Travessa Wilson Ribeiro,,Taquarí,7735,1
69906442,Travessa São Paulo,,Taquarí,7735,1
69906444,Rua Aparecida do Norte,,Taquarí,7735,1
69906446,Rua Wilson Ribeiro,,Taquarí,7735,1
69906448,Rua São Paulo,,Taquarí,7735,1
69906450,Travessa do Sol,,Taquarí,7735,1
69906452,Travessa Wilson Ribeiro II,,Taquarí,7735,1
69906454,Rua João Ribeiro,,Taquarí,7735,1
69906456,Rua Preciosa,,Taquarí,7735,1
69906458,Rua Ulisses Guimarães,,Taquarí,7735,1
69906460,Rua Taquarí,,Taquarí,7735,1
69906462,Rua Canção de Fogo,,Taquarí,7735,1
69906464,Travessa Grande Otelo,,Taquarí,7735,1
69906468,Travessa Pégasus,,Taquarí,7735,1
69906470,Travessa Apolo,,Taquarí,7735,1
69906472,Ramal Menino Jesus,,Taquarí,7735,1
69906474,Rua Baguari,- de 3001/3002 a 3999/4000,Taquarí,7735,1
69906476,Travessa Morada do Sol,,Taquarí,7735,1
69906478,Travessa Lins,,Taquarí,7735,1
69906480,Rua do Sol,,Taquarí,7735,1
69906482,Travessa Zeus,,Taquarí,7735,1
69906484,Travessa Diógenes,,Taquarí,7735,1
69906486,Travessa Felicidade,,Taquarí,7735,1
69906488,Rua Baguari,- de 4001/4002 ao fim,Taquarí,7735,1
69906490,Rua do Passeio,- de 4115/4116 ao fim,Taquarí,7735,1
69906492,Rua do Passeio,- de 3001/3002 a 4113/4114,Taquarí,7735,1
69906494,Rua do Passeio,- de 2102/2103 a 2999/3000,Taquarí,7735,1
69906496,Rua do Passeio,- de 1602/1603 a 2100/2101,Taquarí,7735,1
69906498,Travessa Araguari,,Taquarí,7735,1
69906500,Rua Tambuatá,,Taquarí,7735,1
69906502,Travessa Figueiredo,,Taquarí,7735,1
69906504,Travessa General,,Taquarí,7735,1
69906506,Travessa Piracicaba,,Taquarí,7735,1
69906508,Travessa 15 de Jaú,,Taquarí,7735,1
69906510,Travessa Cruzeiro,,Taquarí,7735,1
69906512,Travessa Vasco da Gama,,Taquarí,7735,1
69906514,Travessa Bragantina,,Taquarí,7735,1
69906620,Rua Praia do Jordão,,Praia do Amapá,7735,1
69906622,Rua Praia do Iaco,,Praia do Amapá,7735,1
69906624,Rua Aldeota,,Praia do Amapá,7735,1
69906626,Avenida Ponta Negra,,Praia do Amapá,7735,1
69906628,Rua Praia Grande,,Praia do Amapá,7735,1
69906630,Avenida Fortaleza do Abunã,,Praia do Amapá,7735,1
69906632,Rua Praia da Base,,Praia do Amapá,7735,1
69906634,Rua Salinas,,Praia do Amapá,7735,1
69906636,Rua Praia do Moa,,Praia do Amapá,7735,1
69906638,Rua Praia do Futuro,,Praia do Amapá,7735,1
69906640,Avenida Praia do Amapá,,Praia do Amapá,7735,1
69906642,Rua do Bombeiro,,Praia do Amapá,7735,1
69906644,Via Verde,,Praia do Amapá,7735,1
69907500,Travessa da Judia,- até 399/400,Recanto dos Buritis,7735,1
69907503,Travessa Paraíso,,Recanto dos Buritis,7735,1
69907506,Travessa Queiroz,,Recanto dos Buritis,7735,1
69907509,Travessa Nascimento,,Recanto dos Buritis,7735,1
69907512,Travessa Fialho,,Recanto dos Buritis,7735,1
69907515,Travessa Mineiro,,Recanto dos Buritis,7735,1
69907518,Travessa da Judia,- de 401/402 a 819/820,Recanto dos Buritis,7735,1
69907521,Travessa Alvoredo,,Recanto dos Buritis,7735,1
69907524,Travessa Coroada,,Recanto dos Buritis,7735,1
69907527,Travessa Coelho,- de 401/402 ao fim,Recanto dos Buritis,7735,1
69907530,Travessa Conceição,,Recanto dos Buritis,7735,1
69907533,Travessa São Vicente,,Recanto dos Buritis,7735,1
69907536,Travessa Maria Helena,,Recanto dos Buritis,7735,1
69907539,Travessa Valmar,,Recanto dos Buritis,7735,1
69907542,Travessa Maria Verônica,,Recanto dos Buritis,7735,1
69907545,Travessa São Mateus,,Recanto dos Buritis,7735,1
69907548,Travessa União,,Recanto dos Buritis,7735,1
69907550,Travessa Padre Thiago,,Recanto dos Buritis,7735,1
69907551,Travessa Feijó,,Recanto dos Buritis,7735,1
69907554,Travessa Pelegrino,,Recanto dos Buritis,7735,1
69907557,Travessa Madureira,,Recanto dos Buritis,7735,1
69907560,Travessa Ipê,,Recanto dos Buritis,7735,1
69907563,Travessa Nascente,,Recanto dos Buritis,7735,1
