cep,estado,cidade,ddd,logradouro
99020370,RS,Passo Fundo,54,Avenida Quinto Giongo
81020630,PR,Curitiba,41,Rua Infante Dom Henrique
28032260.0,NE,NE,NE,NE
83704040,PR,Araucária,41,Rua Catarina Druszcz Gotfrid
65725000,MA,Pedreiras,99,NE
65725000,MA,Pedreiras,99,NE
57018630,AL,Maceió,82,Rua Doutor Osvaldo Cruz
17209328,SP,Jaú,14,Rua Mário Borgo
17209328,SP,Jaú,14,Rua Mário Borgo
67033000,PA,Ananindeua,91,Rodovia BR-316
67033000,PA,Ananindeua,91,Rodovia BR-316
43819271.0,NE,NE,NE,NE
69082713,AM,Manaus,92,Travessa das Monções
69082713,AM,Manaus,92,Travessa das Monções
71741604,DF,Brasília,61,Quadra SMPW Quadra 16 Conjunto 4
64034165,PI,Teresina,86,Rua João Soares
64008570,PI,Teresina,86,Rua Professor Edson Cunha
68590000,PA,Jacundá,94,NE
21635390,RJ,Rio de Janeiro,21,Rua Paraguaçu Carneiro
7142300.0,NE,NE,NE,NE
13634220,SP,Pirassununga,19,Avenida José Aranha
23087045,RJ,Rio de Janeiro,21,Avenida Mergulhão
64023300,PI,Teresina,86,Rua Afonso Pena
64023300,PI,Teresina,86,Rua Afonso Pena
59062240,RN,Natal,84,Rua Hidrógrafo Vital de Oliveira
59062240,RN,Natal,84,Rua Hidrógrafo Vital de Oliveira
13456765.0,NE,NE,NE,NE
64280000,PI,Campo Maior,86,NE
18420844.0,NE,NE,NE,NE
45250000,BA,Boa Nova,77,NE
68370000.0,NE,NE,NE,NE
68370000.0,NE,NE,NE,NE
78895052.0,NE,NE,NE,NE
83505138,PR,Almirante Tamandaré,41,Avenida Cachoeira
19820000,SP,Tarumã,,NE
23015070,RJ,Rio de Janeiro,21,Rua Micronesia
21745120,RJ,Rio de Janeiro,21,Rua Arquimedes
96202620,RS,Rio Grande,53,Rua Pero Vaz de Caminha
21530050,RJ,Rio de Janeiro,21,Rua Omar Fontoura
78555399,MT,Sinop,66,Rua Turim
20511270,RJ,Rio de Janeiro,21,Rua Dona Delfina
25515125,RJ,São João de Meriti,21,Avenida Automóvel Clube
20511270,RJ,Rio de Janeiro,21,Rua Dona Delfina
20511270,RJ,Rio de Janeiro,21,Rua Dona Delfina
65058239,MA,São Luís,98,Avenida Este
21645400,RJ,Rio de Janeiro,21,Rua Monsenhor Negromonte
88514670,SC,Lages,49,Rua Fernando Nunes Audibert
54350140,PE,Jaboatão dos Guararapes,81,Rua do Rosário
14020590,SP,Ribeirão Preto,16,Rua Manoel Achê
30512680,MG,Belo Horizonte,31,Rua Juatuba
30512680,MG,Belo Horizonte,31,Rua Juatuba
43700000,BA,Simões Filho,71,NE
9843840.0,NE,NE,NE,NE
2140000.0,NE,NE,NE,NE
40352000,BA,Salvador,71,Rua Mello Moraes Filho
57039714,AL,Maceió,82,Rua João Paulo II
17730000,SP,Parapuã,,NE
65041420,MA,São Luís,98,Rua São Jorge
35900128,MG,Itabira,31,Rua Girassol
17210780,SP,Jaú,14,Avenida Desembargador João Baptista de Arruda Sampaio
18710100.0,NE,NE,NE,NE
18700100,SP,Avaré,14,Rua Minas Gerais
18700100,SP,Avaré,14,Rua Minas Gerais
22780070,RJ,Rio de Janeiro,21,Estrada de Camorim
38405246,MG,Uberlândia,34,Rua José Batista Azevedo
69050370,AM,Manaus,92,Rua Manoel Santos Júnior
95095158,RS,Caxias do Sul,54,Rua Gelasio Bôz
45550000,BA,Ubatã,73,NE
45550000,BA,Ubatã,73,NE
45550000,BA,Ubatã,73,NE
45550000,BA,Ubatã,73,NE
65095575,MA,São Luís,98,Rua São José
89802190,SC,Chapecó,49,Rua Marechal Floriano Peixoto - O
75570000,GO,Bom Jesus,,NE
89802190,SC,Chapecó,49,Rua Marechal Floriano Peixoto - O
69085070,AM,Manaus,92,Rua Rosarinho
69085070,AM,Manaus,92,Rua Rosarinho
69085070,AM,Manaus,92,Rua Rosarinho
26553270,RJ,Mesquita,21,Rua Vênus
26553270,RJ,Mesquita,21,Rua Vênus
26553270,RJ,Mesquita,21,Rua Vênus
26553270,RJ,Mesquita,21,Rua Vênus
89809544,SC,Chapecó,49,Rua Elias Gallon - D
42740040,BA,Lauro de Freitas,71,Avenida Santa Rita
89809544,SC,Chapecó,49,Rua Elias Gallon - D
89809544,SC,Chapecó,49,Rua Elias Gallon - D
89809544,SC,Chapecó,49,Rua Elias Gallon - D
45055615,BA,Vitória da Conquista,77,Rua Joaquim dos Reis
89809544,SC,Chapecó,49,Rua Elias Gallon - D
45055615,BA,Vitória da Conquista,77,Rua Joaquim dos Reis
65908338,MA,Imperatriz,99,Rua Bahia
67033000,PA,Ananindeua,91,Rodovia BR-316
69313172,RR,Boa Vista,95,Rua Abdala Habib Fraxe
64004215,PI,Teresina,86,Conjunto São Joaquim
94834142,RS,Alvorada,51,Rua Operário
17025630,SP,Bauru,14,Rua Alexandre Jorge Nasralla
38045390,MG,Uberaba,34,Rua Coronel José Caetano Borges
91520540,RS,Porto Alegre,51,Rua Primeiro de Setembro
26265160,RJ,Nova Iguaçu,21,Rua Desembargador Nelson Ribeiro
59347000,RN,Ouro Branco,,NE
72006125,DF,Brasília,61,Rua Rua 5 Chácara 232
41218093,BA,Salvador,71,1ª Travessa Albino Fernandes
41260300,BA,Salvador,71,Rua Artêmio Castro Valente
21044040,RJ,Rio de Janeiro,21,Rua Darci Vargas
41218093,BA,Salvador,71,1ª Travessa Albino Fernandes
41218093,BA,Salvador,71,1ª Travessa Albino Fernandes
41218093,BA,Salvador,71,1ª Travessa Albino Fernandes
73840000,GO,Campos Belos,62,NE
30626480,MG,Belo Horizonte,31,Rua Barão do Monte Alto
3734020.0,NE,NE,NE,NE
58066222,PB,João Pessoa,83,Rua Maria Lívia Alves Coêlho
58066222,PB,João Pessoa,83,Rua Maria Lívia Alves Coêlho
35650000,MG,Pitangui,37,NE
35650000,MG,Pitangui,37,NE
